學年度,檔名,大小KB
083,083_國文_試題內容.doc,50.0
083,083_國文_試題內容.pdf,251.5
083,083_國文_選擇題答案.pdf,544.3
084,084_國文_試題內容.doc,49.0
084,084_國文_試題內容.pdf,234.4
084,084_國文_選擇題答案.pdf,717.3
085,085_國文_試題內容.doc,49.0
085,085_國文_試題內容.pdf,262.9
085,085_國文_選擇題答案.pdf,865.6
086,086_國文_試題內容.doc,57.0
086,086_國文_試題內容.pdf,294.8
086,086_國文_選擇題答案.pdf,668.7
087,087_國文_試題內容.doc,78.0
087,087_國文_試題內容.pdf,282.4
087,087_國文_選擇題答案.pdf,683.6
088,088_國文_試題內容.doc,51.5
088,088_國文_試題內容.pdf,247.0
088,088_國文_選擇題答案.pdf,2133.3
089,089_國文_試題內容.doc,70.5
089,089_國文_試題內容.pdf,271.2
089,089_國文_選擇題答案.pdf,1632.2
090,090_國文_封面.pdf,62.4
090,090_國文_試題內容.doc,82.0
090,090_國文_試題內容.pdf,309.4
090,090_國文_選擇題答案.pdf,115.1
091,091_國文_封面.pdf,58.1
091,091_國文_封面_1.pdf,57.7
091,091_國文_試題內容.doc,74.5
091,091_國文_試題內容.pdf,348.9
091,091_國文_試題內容_1.doc,95.5
091,091_國文_試題內容_1.pdf,316.1
091,091_國文_選擇題答案.pdf,154.2
091,091_國文_選擇題答案_1.pdf,114.2
091,091_國文_非選擇題評分標準.pdf,492.0
092,092_國文_試題內容.doc,66.0
092,092_國文_試題內容.pdf,270.8
092,092_國文_試題內容_1.doc,85.5
092,092_國文_試題內容_1.pdf,350.9
092,092_國文_選擇題答案.pdf,16.2
092,092_國文_選擇題答案_1.pdf,20.7
092,092_國文_非選擇題評分標準.pdf,2144.8
093,093_國文_試題內容.doc,215.5
093,093_國文_試題內容.pdf,697.4
093,093_國文_選擇題答案.pdf,97.8
093,093_國文_非選擇題評分標準.pdf,415.6
094,094_國文_試題內容.doc,105.0
094,094_國文_試題內容.pdf,392.5
094,094_國文_選擇題答案.pdf,48.2
094,094_國文_非選擇題評分標準.pdf,272.3
095,095_國文_試題內容.doc,68.5
095,095_國文_試題內容.pdf,406.9
095,095_國文_選擇題答案.pdf,75.0
095,095_國文_非選擇題評分標準.pdf,709.4
096,096_國文_試題內容.doc,85.0
096,096_國文_試題內容.pdf,387.3
096,096_國文_選擇題答案.pdf,53.3
096,096_國文_非選擇題評分標準.pdf,637.3
097,097_國文_試題內容.doc,211.0
097,097_國文_試題內容.pdf,498.3
097,097_國文_選擇題答案.pdf,57.4
097,097_國文_非選擇題評分標準.pdf,864.1
098,098_國文_試題內容.doc,99.5
098,098_國文_試題內容.pdf,431.6
098,098_國文_選擇題答案.pdf,10.6
098,098_國文_非選擇題評分標準.pdf,635.6
099,099_國文_試題內容.doc,241.0
099,099_國文_試題內容.pdf,629.3
099,099_國文_選擇題答案.pdf,40.6
099,099_國文_非選擇題評分標準.pdf,580.9
100,100_國文_試題內容.doc,72.0
100,100_國文_試題內容.pdf,434.6
100,100_國文_選擇題答案.pdf,42.5
100,100_國文_非選擇題評分標準.pdf,616.6
101,101_國文_試題內容.doc,70.0
101,101_國文_試題內容.pdf,489.2
101,101_國文_選擇題答案.pdf,53.9
101,101_國文_非選擇題評分標準.pdf,770.2
