學年度,檔名,大小KB
083,083_自然_試題內容.doc,324.0
083,083_自然_試題內容.pdf,364.3
083,083_自然_選擇題答案.pdf,544.3
084,084_自然_試題內容.doc,309.0
084,084_自然_試題內容.pdf,368.3
084,084_自然_選擇題答案.pdf,717.3
085,085_自然_試題內容.doc,292.0
085,085_自然_試題內容.pdf,349.4
085,085_自然_選擇題答案.pdf,865.6
086,086_自然_試題內容.doc,519.5
086,086_自然_試題內容.pdf,510.3
086,086_自然_選擇題答案.pdf,668.7
087,087_自然_試題內容.doc,439.0
087,087_自然_試題內容.pdf,555.8
087,087_自然_選擇題答案.pdf,683.6
088,088_自然_試題內容.doc,1826.5
088,088_自然_試題內容.pdf,611.0
088,088_自然_選擇題答案.pdf,2133.3
089,089_自然_試題內容.doc,1704.5
089,089_自然_試題內容.pdf,1325.4
089,089_自然_選擇題答案.pdf,1632.2
090,090_自然_封面.pdf,63.6
090,090_自然_試題內容.doc,1881.5
090,090_自然_試題內容.pdf,1478.6
090,090_自然_選擇題答案.pdf,115.1
091,091_自然_封面.pdf,40.0
091,091_自然_封面_1.pdf,41.1
091,091_自然_試題內容.doc,1509.0
091,091_自然_試題內容.pdf,1853.3
091,091_自然_試題內容_1.doc,4731.5
091,091_自然_試題內容_1.pdf,1029.5
091,091_自然_選擇題答案.pdf,154.2
091,091_自然_選擇題答案_1.pdf,114.2
092,092_自然_試題內容.doc,596.0
092,092_自然_試題內容.pdf,452.2
092,092_自然_試題內容_1.doc,552.0
092,092_自然_試題內容_1.pdf,473.5
092,092_自然_選擇題答案.pdf,16.2
092,092_自然_選擇題答案_1.pdf,20.7
093,093_自然_試題內容.doc,34550.0
093,093_自然_試題內容.pdf,1050.0
093,093_自然_選擇題答案.pdf,97.8
094,094_自然_試題內容.doc,1139.5
094,094_自然_試題內容.pdf,1489.8
094,094_自然_選擇題答案.pdf,48.2
095,095_自然_試題內容.doc,2884.0
095,095_自然_試題內容.pdf,1414.3
095,095_自然_選擇題答案.pdf,75.0
096,096_自然_試題內容.doc,2224.0
096,096_自然_試題內容.pdf,1546.2
096,096_自然_選擇題答案.pdf,48.8
097,097_自然_試題內容.doc,1624.5
097,097_自然_試題內容.pdf,1629.5
097,097_自然_選擇題答案.pdf,57.9
098,098_自然_試題內容.doc,1380.0
098,098_自然_試題內容.pdf,907.8
098,098_自然_選擇題答案.pdf,60.1
099,099_自然_試題內容.doc,3532.0
099,099_自然_試題內容.pdf,2871.8
099,099_自然_選擇題答案.pdf,42.0
100,100_自然_試題內容.doc,1415.5
100,100_自然_試題內容.pdf,640.9
100,100_自然_選擇題答案.pdf,43.6
101,101_自然_試題內容.doc,2124.0
101,101_自然_試題內容.pdf,810.4
101,101_自然_選擇題答案.pdf,70.8
102,102_自然_試題內容.doc,3859.0
102,102_自然_試題內容.pdf,1429.1
102,102_自然_選擇題答案.pdf,35.0
103,103_自然_試題內容.docx,12249.7
103,103_自然_試題內容.pdf,1086.7
103,103_自然_選擇題答案.pdf,30.0
104,104_自然_試題內容.docx,7803.9
104,104_自然_試題內容.pdf,730.2
104,104_自然_選擇題答案.pdf,211.9
105,105_自然_試題內容.docx,5045.2
105,105_自然_試題內容.pdf,1558.4
105,105_自然_選擇題答案.pdf,70.4
106,106_自然_試題內容.docx,2905.4
106,106_自然_試題內容.pdf,679.8
106,106_自然_選擇題答案.pdf,70.9
107,107_自然_試題內容.docx,3764.6
107,107_自然_試題內容.pdf,1542.9
107,107_自然_選擇題答案.pdf,145.4
108,108_自然_試題內容.docx,5149.0
108,108_自然_試題內容.pdf,1920.7
108,108_自然_選擇題答案.pdf,165.3
109,109_自然_試題內容.docx,6831.3
109,109_自然_試題內容.pdf,2447.8
109,109_自然_選擇題答案.pdf,165.3
110,110_自然_試題內容.docx,2196.7
110,110_自然_試題內容.pdf,1411.3
110,110_自然_選擇題答案.pdf,180.5
111,111_自然_答題卷.pdf,1100.0
111,111_自然_試題內容.docx,11724.8
111,111_自然_試題內容.pdf,2817.0
111,111_自然_選擇題答案.pdf,97.2
111,111_自然_非選擇題評分原則.pdf,489.3
112,112_自然_答題卷.pdf,588.9
112,112_自然_試題內容.docx,1581.6
112,112_自然_試題內容.pdf,1537.9
112,112_自然_選擇題答案.pdf,102.5
112,112_自然_非選擇題評分原則.pdf,406.6
113,113_自然_答題卷.pdf,342.2
113,113_自然_試題內容.docx,2405.7
113,113_自然_試題內容.pdf,1436.8
113,113_自然_選擇題答案.pdf,96.5
113,113_自然_非選擇題評分原則.pdf,355.8
114,114_自然_答題卷.pdf,504.5
114,114_自然_試題內容.docx,9657.8
114,114_自然_試題內容.pdf,1686.0
114,114_自然_選擇題答案.pdf,96.6
114,114_自然_非選擇題評分原則.pdf,529.3
115,115_自然_答題卷.pdf,607.2
115,115_自然_試題內容.docx,3971.1
115,115_自然_試題內容.pdf,1874.0
115,115_自然_選擇題答案.pdf,72.4
115,115_自然_非選擇題評分原則.pdf,1009.2
